Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1978,1772,999,48936.871094,0.020414
2,1000,0.1,0.2,50.0,1000,2012,1817,999,49430.816406,0.020210
3,1000,0.1,0.2,50.0,1000,2031,1829,997,49071.253906,0.020317
4,1000,0.1,0.2,50.0,1000,1992,1779,999,50483.285156,0.019789
5,1000,0.1,0.2,50.0,1000,1919,1723,998,50943.687500,0.019590
6,1000,0.1,0.2,50.0,1000,1931,1749,999,48283.250000,0.020690
7,1000,0.1,0.2,50.0,1000,1867,1659,912,50383.535156,0.018101
8,1000,0.1,0.2,50.0,1000,1966,1794,999,49494.550781,0.020184
9,1000,0.1,0.2,50.0,1000,2062,1845,998,49765.988281,0.020054
10,1000,0.1,0.2,50.0,1000,1959,1771,999,49502.871094,0.020181
