Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,443,273,102,51367.335938,0.001986
2,1000,0.4,0.2,50.0,1000,679,405,72,49979.343750,0.001441
3,1000,0.4,0.2,50.0,1000,353,218,59,49382.402344,0.001195
4,1000,0.4,0.2,50.0,1000,278,160,41,51307.808594,0.000799
5,1000,0.4,0.2,50.0,1000,597,330,96,50693.539062,0.001894
6,1000,0.4,0.2,50.0,1000,1199,713,267,50337.683594,0.005304
7,1000,0.4,0.2,50.0,1000,419,249,71,49819.332031,0.001425
8,1000,0.4,0.2,50.0,1000,391,248,81,51233.925781,0.001581
9,1000,0.4,0.2,50.0,1000,271,161,63,48116.613281,0.001309
10,1000,0.4,0.2,50.0,1000,279,166,37,49741.492188,0.000744
