Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.0,50.0,1000,1254,1133,999,50790.000000,0.019669
2,1000,0.1,0.0,50.0,1000,1248,1108,998,49821.683594,0.020031
3,1000,0.1,0.0,50.0,1000,1253,1118,999,50594.097656,0.019745
4,1000,0.1,0.0,50.0,1000,1243,1108,999,48871.625000,0.020441
5,1000,0.1,0.0,50.0,1000,1223,1111,999,48813.000000,0.020466
6,1000,0.1,0.0,50.0,1000,1192,1094,999,50395.640625,0.019823
7,1000,0.1,0.0,50.0,1000,1249,1113,999,49727.671875,0.020089
8,1000,0.1,0.0,50.0,1000,1219,1106,999,49299.714844,0.020264
9,1000,0.1,0.0,50.0,1000,1260,1138,999,48923.558594,0.020420
10,1000,0.1,0.0,50.0,1000,1239,1114,999,49805.457031,0.020058
