Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,1251,1250,999,51005.996094,0.019586
2,1000,0.0,0.1,50.0,1000,1271,1271,998,50746.585938,0.019666
3,1000,0.0,0.1,50.0,1000,1250,1250,998,48524.558594,0.020567
4,1000,0.0,0.1,50.0,1000,1221,1220,999,48978.394531,0.020397
5,1000,0.0,0.1,50.0,1000,1208,1207,999,50127.343750,0.019929
6,1000,0.0,0.1,50.0,1000,1221,1220,999,50349.019531,0.019841
7,1000,0.0,0.1,50.0,1000,1237,1236,999,49534.839844,0.020168
8,1000,0.0,0.1,50.0,1000,1222,1221,999,51231.246094,0.019500
9,1000,0.0,0.1,50.0,1000,1250,1249,999,49172.457031,0.020316
10,1000,0.0,0.1,50.0,1000,1248,1247,999,49759.796875,0.020076
