Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.0,50.0,1000,50,32,19,49687.398438,0.000382
2,1000,0.4,0.0,50.0,1000,383,216,109,50507.011719,0.002158
3,1000,0.4,0.0,50.0,1000,847,515,299,51879.757812,0.005763
4,1000,0.4,0.0,50.0,1000,173,93,54,50991.492188,0.001059
5,1000,0.4,0.0,50.0,1000,1285,761,436,50233.109375,0.008680
6,1000,0.4,0.0,50.0,1000,154,86,45,49512.843750,0.000909
7,1000,0.4,0.0,50.0,1000,298,186,108,48324.281250,0.002235
8,1000,0.4,0.0,50.0,1000,172,99,56,50558.156250,0.001108
9,1000,0.4,0.0,50.0,1000,135,77,33,48227.195312,0.000684
10,1000,0.4,0.0,50.0,1000,442,248,145,51388.628906,0.002822
