Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.4,50.0,1000,2734,2734,986,49739.148438,0.019823
2,1000,0.0,0.4,50.0,1000,2809,2809,997,49796.714844,0.020021
3,1000,0.0,0.4,50.0,1000,2816,2816,996,50076.503906,0.019890
4,1000,0.0,0.4,50.0,1000,2772,2771,999,50995.757812,0.019590
5,1000,0.0,0.4,50.0,1000,2790,2789,997,51689.507812,0.019288
6,1000,0.0,0.4,50.0,1000,2646,2646,994,50733.050781,0.019593
7,1000,0.0,0.4,50.0,1000,2914,2914,998,49767.746094,0.020053
8,1000,0.0,0.4,50.0,1000,2727,2727,999,51043.953125,0.019571
9,1000,0.0,0.4,50.0,1000,2743,2743,999,48786.187500,0.020477
10,1000,0.0,0.4,50.0,1000,2795,2795,995,49261.015625,0.020199
