Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.0,50.0,1000,1338,1202,999,48834.339844,0.020457
2,1000,0.1,0.0,50.0,1000,1341,1221,999,48786.054688,0.020477
3,1000,0.1,0.0,50.0,1000,303,270,234,49965.554688,0.004683
4,1000,0.1,0.0,50.0,1000,1372,1229,999,49591.937500,0.020144
5,1000,0.1,0.0,50.0,1000,1332,1195,999,50200.300781,0.019900
6,1000,0.1,0.0,50.0,1000,1347,1208,999,50125.750000,0.019930
7,1000,0.1,0.0,50.0,1000,1337,1198,999,50527.089844,0.019772
8,1000,0.1,0.0,50.0,1000,1337,1227,999,49677.359375,0.020110
9,1000,0.1,0.0,50.0,1000,1367,1220,999,49660.320312,0.020117
10,1000,0.1,0.0,50.0,1000,1331,1194,999,48063.015625,0.020785
