Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.6,50.0,1000,2648,2648,398,49421.335938,0.008053
2,1000,0.0,0.6,50.0,1000,2526,2526,379,47176.242188,0.008034
3,1000,0.0,0.6,50.0,1000,2627,2626,410,48906.664062,0.008383
4,1000,0.0,0.6,50.0,1000,2615,2614,467,48144.050781,0.009700
5,1000,0.0,0.6,50.0,1000,2758,2758,453,51225.285156,0.008843
6,1000,0.0,0.6,50.0,1000,2728,2728,448,50682.722656,0.008839
7,1000,0.0,0.6,50.0,1000,2660,2659,385,49894.144531,0.007716
8,1000,0.0,0.6,50.0,1000,2700,2700,421,50277.925781,0.008373
9,1000,0.0,0.6,50.0,1000,2643,2643,409,49108.328125,0.008329
10,1000,0.0,0.6,50.0,1000,2642,2642,415,49208.621094,0.008433
