Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2457,1990,999,49154.945312,0.020323
2,1000,0.2,0.2,50.0,1000,2470,2011,997,48256.835938,0.020660
3,1000,0.2,0.2,50.0,1000,2466,1971,999,49005.105469,0.020386
4,1000,0.2,0.2,50.0,1000,2497,1997,999,49348.515625,0.020244
5,1000,0.2,0.2,50.0,1000,2369,1923,999,49611.382812,0.020137
6,1000,0.2,0.2,50.0,1000,2466,1964,999,50542.648438,0.019765
7,1000,0.2,0.2,50.0,1000,2528,1986,999,49312.886719,0.020258
8,1000,0.2,0.2,50.0,1000,2437,1955,999,50635.339844,0.019729
9,1000,0.2,0.2,50.0,1000,2612,2074,999,50169.421875,0.019913
10,1000,0.2,0.2,50.0,1000,2446,1960,998,49534.855469,0.020147
