Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2832,616,11,50910.496094,0.000216
2,1000,0.8,0.2,50.0,1000,2822,596,27,50697.664062,0.000533
3,1000,0.8,0.2,50.0,1000,2818,574,2,50621.574219,0.000040
4,1000,0.8,0.2,50.0,1000,2767,593,6,49713.136719,0.000121
5,1000,0.8,0.2,50.0,1000,2770,589,4,49736.777344,0.000080
6,1000,0.8,0.2,50.0,1000,2777,608,24,49868.554688,0.000481
7,1000,0.8,0.2,50.0,1000,2781,543,11,49943.304688,0.000220
8,1000,0.8,0.2,50.0,1000,2852,555,9,51236.773438,0.000176
9,1000,0.8,0.2,50.0,1000,2767,531,14,49697.785156,0.000282
10,1000,0.8,0.2,50.0,1000,2767,560,4,49737.531250,0.000080
