Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3209,1646,308,48816.601562,0.006309
2,1000,0.5,0.2,50.0,1000,3235,1640,186,50284.324219,0.003699
3,1000,0.5,0.2,50.0,1000,3271,1622,265,49661.246094,0.005336
4,1000,0.5,0.2,50.0,1000,3400,1739,367,51807.316406,0.007084
5,1000,0.5,0.2,50.0,1000,3348,1675,316,49615.140625,0.006369
6,1000,0.5,0.2,50.0,1000,3286,1682,305,49785.140625,0.006126
7,1000,0.5,0.2,50.0,1000,3267,1589,275,49472.558594,0.005559
8,1000,0.5,0.2,50.0,1000,3294,1655,367,49557.355469,0.007406
9,1000,0.5,0.2,50.0,1000,3453,1676,371,52583.796875,0.007055
10,1000,0.5,0.2,50.0,1000,3341,1641,207,50440.402344,0.004104
