Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,288,146,62,50945.894531,0.001217
2,1000,0.5,0.2,50.0,1000,364,172,29,50240.406250,0.000577
3,1000,0.5,0.2,50.0,1000,89,42,13,50984.476562,0.000255
4,1000,0.5,0.2,50.0,1000,108,54,9,49233.765625,0.000183
5,1000,0.5,0.2,50.0,1000,2767,1386,152,49749.109375,0.003055
6,1000,0.5,0.2,50.0,1000,906,459,65,49814.863281,0.001305
7,1000,0.5,0.2,50.0,1000,99,47,21,49872.843750,0.000421
8,1000,0.5,0.2,50.0,1000,1607,841,117,48681.109375,0.002403
9,1000,0.5,0.2,50.0,1000,318,158,24,48653.906250,0.000493
10,1000,0.5,0.2,50.0,1000,1878,921,96,49382.769531,0.001944
