Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.0,50.0,1000,1626,1309,998,48027.128906,0.020780
2,1000,0.2,0.0,50.0,1000,1611,1272,999,49324.148438,0.020254
3,1000,0.2,0.0,50.0,1000,1694,1329,999,50396.679688,0.019823
4,1000,0.2,0.0,50.0,1000,1660,1340,999,49344.316406,0.020245
5,1000,0.2,0.0,50.0,1000,1641,1329,999,50855.031250,0.019644
6,1000,0.2,0.0,50.0,1000,1656,1326,999,51860.316406,0.019263
7,1000,0.2,0.0,50.0,1000,1664,1306,999,50147.527344,0.019921
8,1000,0.2,0.0,50.0,1000,1606,1317,999,49111.914062,0.020341
9,1000,0.2,0.0,50.0,1000,1706,1334,999,49659.769531,0.020117
10,1000,0.2,0.0,50.0,1000,1662,1345,999,50574.855469,0.019753
