Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2250,1835,908,49001.093750,0.018530
2,1000,0.2,0.2,50.0,1000,1089,883,449,49508.359375,0.009069
3,1000,0.2,0.2,50.0,1000,443,354,178,48817.941406,0.003646
4,1000,0.2,0.2,50.0,1000,1766,1388,685,49783.855469,0.013759
5,1000,0.2,0.2,50.0,1000,2369,1923,999,49611.382812,0.020137
6,1000,0.2,0.2,50.0,1000,239,182,102,51076.226562,0.001997
7,1000,0.2,0.2,50.0,1000,866,686,357,50426.777344,0.007080
8,1000,0.2,0.2,50.0,1000,2434,1952,999,50643.671875,0.019726
9,1000,0.2,0.2,50.0,1000,1464,1171,570,49552.660156,0.011503
10,1000,0.2,0.2,50.0,1000,2445,1954,999,50076.324219,0.019950
