Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,196,83,20,50185.468750,0.000399
2,1000,0.6,0.2,50.0,1000,1313,534,43,50094.101562,0.000858
3,1000,0.6,0.2,50.0,1000,2808,1124,77,50383.113281,0.001528
4,1000,0.6,0.2,50.0,1000,1356,549,16,50495.656250,0.000317
5,1000,0.6,0.2,50.0,1000,2862,1145,96,51381.269531,0.001868
6,1000,0.6,0.2,50.0,1000,1286,517,57,49575.468750,0.001150
7,1000,0.6,0.2,50.0,1000,2767,1118,33,49751.148438,0.000663
8,1000,0.6,0.2,50.0,1000,969,386,20,51027.015625,0.000392
9,1000,0.6,0.2,50.0,1000,1056,402,44,50054.816406,0.000879
10,1000,0.6,0.2,50.0,1000,158,56,6,50257.093750,0.000119
