Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.0,50.0,1000,387,166,45,50853.066406,0.000885
2,1000,0.6,0.0,50.0,1000,100,44,20,48633.675781,0.000411
3,1000,0.6,0.0,50.0,1000,483,187,14,49851.824219,0.000281
4,1000,0.6,0.0,50.0,1000,108,39,9,49413.085938,0.000182
5,1000,0.6,0.0,50.0,1000,165,69,29,49961.250000,0.000580
6,1000,0.6,0.0,50.0,1000,2825,1122,96,50615.796875,0.001897
7,1000,0.6,0.0,50.0,1000,94,40,17,49560.746094,0.000343
8,1000,0.6,0.0,50.0,1000,104,40,14,50084.527344,0.000280
9,1000,0.6,0.0,50.0,1000,2779,1049,91,49891.179688,0.001824
10,1000,0.6,0.0,50.0,1000,230,85,15,50089.332031,0.000299
