Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2480,2012,999,48975.023438,0.020398
2,1000,0.2,0.2,50.0,1000,1192,949,481,49521.238281,0.009713
3,1000,0.2,0.2,50.0,1000,2443,1907,999,49422.257812,0.020214
4,1000,0.2,0.2,50.0,1000,2408,1949,999,50263.863281,0.019875
5,1000,0.2,0.2,50.0,1000,2343,1897,998,49473.753906,0.020172
6,1000,0.2,0.2,50.0,1000,2433,1941,998,49986.605469,0.019965
7,1000,0.2,0.2,50.0,1000,2588,2049,999,49567.625000,0.020154
8,1000,0.2,0.2,50.0,1000,2330,1903,999,49230.015625,0.020292
9,1000,0.2,0.2,50.0,1000,2464,1946,999,49733.515625,0.020087
10,1000,0.2,0.2,50.0,1000,2395,1941,999,48526.980469,0.020586
