Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3067,645,27,51720.496094,0.000522
2,1000,0.8,0.2,50.0,1000,3051,638,26,51408.882812,0.000506
3,1000,0.8,0.2,50.0,1000,2977,594,4,50063.574219,0.000080
4,1000,0.8,0.2,50.0,1000,3025,634,6,50924.027344,0.000118
5,1000,0.8,0.2,50.0,1000,3023,602,11,50866.429688,0.000216
6,1000,0.8,0.2,50.0,1000,2952,648,24,49576.554688,0.000484
7,1000,0.8,0.2,50.0,1000,2975,577,15,50010.449219,0.000300
8,1000,0.8,0.2,50.0,1000,2965,603,25,49850.773438,0.000501
9,1000,0.8,0.2,50.0,1000,2915,563,9,48941.785156,0.000184
10,1000,0.8,0.2,50.0,1000,2904,585,12,48783.531250,0.000246
