Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2904,625,5,51486.496094,0.000097
2,1000,0.8,0.2,50.0,1000,2856,609,16,50598.882812,0.000316
3,1000,0.8,0.2,50.0,1000,2875,567,14,50915.875000,0.000275
4,1000,0.8,0.2,50.0,1000,2784,608,21,49299.136719,0.000426
5,1000,0.8,0.2,50.0,1000,2838,579,24,50181.046875,0.000478
6,1000,0.8,0.2,50.0,1000,2768,615,7,49033.625000,0.000143
7,1000,0.8,0.2,50.0,1000,2814,549,14,49817.304688,0.000281
8,1000,0.8,0.2,50.0,1000,2872,556,13,50876.773438,0.000256
9,1000,0.8,0.2,50.0,1000,2827,538,26,50051.417969,0.000519
10,1000,0.8,0.2,50.0,1000,2823,583,8,50025.531250,0.000160
