Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,408,215,51,50851.550781,0.001003
2,1000,0.5,0.2,50.0,1000,2837,1431,115,50168.027344,0.002292
3,1000,0.5,0.2,50.0,1000,2364,1162,138,49617.074219,0.002781
4,1000,0.5,0.2,50.0,1000,348,170,30,50873.285156,0.000590
5,1000,0.5,0.2,50.0,1000,1603,796,111,49968.144531,0.002221
6,1000,0.5,0.2,50.0,1000,2754,1382,220,49933.226562,0.004406
7,1000,0.5,0.2,50.0,1000,284,153,51,47490.128906,0.001074
8,1000,0.5,0.2,50.0,1000,2199,1147,124,49836.726562,0.002488
9,1000,0.5,0.2,50.0,1000,2580,1276,49,48788.253906,0.001004
10,1000,0.5,0.2,50.0,1000,2856,1374,119,50600.707031,0.002352
