Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,3307,695,25,50640.496094,0.000494
2,1000,0.8,0.2,50.0,1000,3364,694,34,51632.175781,0.000659
3,1000,0.8,0.2,50.0,1000,3257,665,17,49703.574219,0.000342
4,1000,0.8,0.2,50.0,1000,3382,699,6,51963.136719,0.000115
5,1000,0.8,0.2,50.0,1000,3329,667,11,50974.429688,0.000216
6,1000,0.8,0.2,50.0,1000,3303,689,16,50494.554688,0.000317
7,1000,0.8,0.2,50.0,1000,3207,647,15,48786.449219,0.000307
8,1000,0.8,0.2,50.0,1000,3190,672,20,48500.773438,0.000412
9,1000,0.8,0.2,50.0,1000,3245,614,37,49481.785156,0.000748
10,1000,0.8,0.2,50.0,1000,3212,655,8,48927.531250,0.000164
