Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.2,50.0,1000,1643,1642,999,50020.835938,0.019972
2,1000,0.0,0.2,50.0,1000,1662,1661,999,51130.945312,0.019538
3,1000,0.0,0.2,50.0,1000,1696,1695,998,50230.945312,0.019868
4,1000,0.0,0.2,50.0,1000,1113,1113,676,50689.222656,0.013336
5,1000,0.0,0.2,50.0,1000,1650,1649,999,50830.023438,0.019654
6,1000,0.0,0.2,50.0,1000,1656,1654,998,50126.292969,0.019910
7,1000,0.0,0.2,50.0,1000,1681,1680,999,50711.531250,0.019700
8,1000,0.0,0.2,50.0,1000,1155,1155,705,50294.238281,0.014018
9,1000,0.0,0.2,50.0,1000,1701,1700,999,49514.644531,0.020176
10,1000,0.0,0.2,50.0,1000,1680,1679,999,48941.769531,0.020412
