Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.0,50.0,1000,2571,551,110,50586.464844,0.002174
2,1000,0.8,0.0,50.0,1000,2604,540,125,51045.882812,0.002449
3,1000,0.8,0.0,50.0,1000,2536,522,113,49774.472656,0.002270
4,1000,0.8,0.0,50.0,1000,2570,524,106,50565.058594,0.002096
5,1000,0.8,0.0,50.0,1000,2525,515,102,49593.792969,0.002057
6,1000,0.8,0.0,50.0,1000,2550,548,109,50098.320312,0.002176
7,1000,0.8,0.0,50.0,1000,2464,479,95,48532.964844,0.001957
8,1000,0.8,0.0,50.0,1000,2524,521,110,49540.769531,0.002220
9,1000,0.8,0.0,50.0,1000,2533,510,94,49828.714844,0.001886
10,1000,0.8,0.0,50.0,1000,2581,515,103,50805.015625,0.002027
