Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.0,50.0,1000,2724,1096,428,50860.460938,0.008415
2,1000,0.6,0.0,50.0,1000,2758,1097,429,51287.253906,0.008365
3,1000,0.6,0.0,50.0,1000,2702,1071,429,50235.210938,0.008540
4,1000,0.6,0.0,50.0,1000,2707,1093,455,49993.648438,0.009101
5,1000,0.6,0.0,50.0,1000,2696,1083,435,50005.976562,0.008699
6,1000,0.6,0.0,50.0,1000,2736,1093,458,50722.031250,0.009030
7,1000,0.6,0.0,50.0,1000,2617,1042,428,48673.964844,0.008793
8,1000,0.6,0.0,50.0,1000,2707,1088,436,50413.820312,0.008648
9,1000,0.6,0.0,50.0,1000,2740,1041,404,51174.933594,0.007894
10,1000,0.6,0.0,50.0,1000,2731,1074,422,50995.546875,0.008275
