Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.6,50.0,1000,2772,2772,222,49688.328125,0.004468
2,1000,0.0,0.6,50.0,1000,1427,1427,82,51036.925781,0.001607
3,1000,0.0,0.6,50.0,1000,122,122,17,50321.980469,0.000338
4,1000,0.0,0.6,50.0,1000,563,563,55,50672.109375,0.001085
5,1000,0.0,0.6,50.0,1000,389,389,63,51003.089844,0.001235
6,1000,0.0,0.6,50.0,1000,166,166,18,50162.964844,0.000359
7,1000,0.0,0.6,50.0,1000,113,113,22,48912.582031,0.000450
8,1000,0.0,0.6,50.0,1000,412,412,28,50935.570312,0.000550
9,1000,0.0,0.6,50.0,1000,981,981,32,49712.949219,0.000644
10,1000,0.0,0.6,50.0,1000,292,292,3,51230.960938,0.000059
