Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.8,50.0,1000,2563,2563,106,50379.191406,0.002104
2,1000,0.0,0.8,50.0,1000,2451,2451,116,48030.906250,0.002415
3,1000,0.0,0.8,50.0,1000,2522,2522,98,49588.750000,0.001976
4,1000,0.0,0.8,50.0,1000,2575,2574,117,50452.121094,0.002319
5,1000,0.0,0.8,50.0,1000,2579,2579,106,50681.183594,0.002092
6,1000,0.0,0.8,50.0,1000,2580,2580,105,50802.863281,0.002067
7,1000,0.0,0.8,50.0,1000,2495,2495,117,48908.304688,0.002392
8,1000,0.0,0.8,50.0,1000,2532,2532,102,49740.093750,0.002051
9,1000,0.0,0.8,50.0,1000,2477,2477,108,48610.015625,0.002222
10,1000,0.0,0.8,50.0,1000,2590,2589,109,50943.222656,0.002140
