Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,224,140,24,50120.253906,0.000479
2,1000,0.4,0.2,50.0,1000,75,43,19,49006.679688,0.000388
3,1000,0.4,0.2,50.0,1000,121,73,31,50481.511719,0.000614
4,1000,0.4,0.2,50.0,1000,453,275,63,49413.531250,0.001275
5,1000,0.4,0.2,50.0,1000,134,81,26,49522.832031,0.000525
6,1000,0.4,0.2,50.0,1000,111,65,27,50121.417969,0.000539
7,1000,0.4,0.2,50.0,1000,55,35,8,49588.726562,0.000161
8,1000,0.4,0.2,50.0,1000,139,89,38,50467.023438,0.000753
9,1000,0.4,0.2,50.0,1000,91,59,21,47883.933594,0.000439
10,1000,0.4,0.2,50.0,1000,122,68,27,50364.457031,0.000536
