Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,1069,543,128,50758.730469,0.002522
2,1000,0.5,0.2,50.0,1000,2885,1447,198,50629.976562,0.003911
3,1000,0.5,0.2,50.0,1000,1034,521,64,50949.535156,0.001256
4,1000,0.5,0.2,50.0,1000,3121,1559,355,52009.070312,0.006826
5,1000,0.5,0.2,50.0,1000,2766,1382,175,48927.753906,0.003577
6,1000,0.5,0.2,50.0,1000,1057,538,124,48780.214844,0.002542
7,1000,0.5,0.2,50.0,1000,1198,591,133,50436.460938,0.002637
8,1000,0.5,0.2,50.0,1000,2923,1507,194,48656.839844,0.003987
9,1000,0.5,0.2,50.0,1000,1466,728,149,50846.863281,0.002930
10,1000,0.5,0.2,50.0,1000,2975,1462,222,49687.398438,0.004468
