Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.1,50.0,1000,1362,1361,999,50152.031250,0.019919
2,1000,0.0,0.1,50.0,1000,1336,1335,999,51029.476562,0.019577
3,1000,0.0,0.1,50.0,1000,1371,1370,999,49942.265625,0.020003
4,1000,0.0,0.1,50.0,1000,1371,1370,999,49312.812500,0.020258
5,1000,0.0,0.1,50.0,1000,1376,1375,999,51134.402344,0.019537
6,1000,0.0,0.1,50.0,1000,693,693,527,49798.128906,0.010583
7,1000,0.0,0.1,50.0,1000,1361,1360,999,49325.734375,0.020253
8,1000,0.0,0.1,50.0,1000,1345,1344,999,50834.546875,0.019652
9,1000,0.0,0.1,50.0,1000,1036,1036,746,51177.148438,0.014577
10,1000,0.0,0.1,50.0,1000,1351,1350,999,50439.460938,0.019806
