Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,956,492,92,52110.660156,0.001765
2,1000,0.5,0.2,50.0,1000,556,273,34,50667.066406,0.000671
3,1000,0.5,0.2,50.0,1000,2802,1405,174,48428.632812,0.003593
4,1000,0.5,0.2,50.0,1000,817,424,78,50970.023438,0.001530
5,1000,0.5,0.2,50.0,1000,769,402,33,50426.042969,0.000654
6,1000,0.5,0.2,50.0,1000,761,392,73,50340.578125,0.001450
7,1000,0.5,0.2,50.0,1000,886,447,129,49998.324219,0.002580
8,1000,0.5,0.2,50.0,1000,846,422,94,50723.402344,0.001853
9,1000,0.5,0.2,50.0,1000,547,261,60,50538.980469,0.001187
10,1000,0.5,0.2,50.0,1000,546,249,55,50657.902344,0.001086
