Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.8,50.0,1000,2886,2886,3,51882.496094,0.000058
2,1000,0.0,0.8,50.0,1000,2815,2815,14,50546.984375,0.000277
3,1000,0.0,0.8,50.0,1000,1298,1298,3,50397.531250,0.000060
4,1000,0.0,0.8,50.0,1000,2801,2801,16,50325.136719,0.000318
5,1000,0.0,0.8,50.0,1000,2759,2759,22,49538.312500,0.000444
6,1000,0.0,0.8,50.0,1000,2836,2836,40,50972.148438,0.000785
7,1000,0.0,0.8,50.0,1000,2813,2813,11,50519.304688,0.000218
8,1000,0.0,0.8,50.0,1000,2931,2931,7,52664.015625,0.000133
9,1000,0.0,0.8,50.0,1000,2697,2697,14,48438.308594,0.000289
10,1000,0.0,0.8,50.0,1000,2822,2821,11,50715.621094,0.000217
